

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

OK: Patient 'Lauterbach, Gerd' importiert
OK: Patient 'Lenzner, Ursula HB' importiert
OK: Patient 'Mertens, Doris HB' importiert
OK: Patient 'Koop, Maria' importiert
OK: Patient 'Heck, Gabriele ' importiert
OK: Patient 'Heyden , Monika' importiert
OK: Patient 'Görres, Achim' importiert
OK: Patient 'Kochhold, Karin ' importiert
OK: Patient 'Kießling, Edeltraud' importiert
OK: Patient 'Boller, Andrea' importiert
OK: Patient 'Dresbach, Horst' importiert
OK: Patient 'Schumacher, Marion' importiert
OK: Patient 'Klein, Markus' importiert
OK: Patient 'Büro' importiert
OK: Patient 'BPW Geldmacher, Angela' importiert
OK: Patient 'Reiffers, Sigrid' importiert
OK: Patient 'Kraus, Sabine' importiert
OK: Patient 'Baljan, Katharina' importiert
OK: Patient 'Fueloep, Tanja MTT' importiert
OK: Patient 'Eiteneuer, Markus ' importiert
OK: Patient 'Weber, Thomas' importiert
OK: Patient 'Dabringhausen, Bärbel' importiert
OK: Patient 'Faulenbach, Anna' importiert
OK: Patient 'Thieme, Ulrike' importiert
OK: Patient 'Duhme, Timo' importiert
OK: Patient 'Seidel, Andreas' importiert
OK: Patient 'KRANK' importiert
OK: Patient 'Gerlach, Jansen,  Carola' importiert
OK: Patient 'leymann,klaus' importiert
OK: Patient 'NIXXXX' importiert
OK: Patient 'Überstundenabbau' importiert
OK: Patient 'Raupach, Kerstin' importiert
OK: Patient 'Schuster, Gerhard HB' importiert
OK: Patient 'Steier, Ina' importiert
OK: Patient 'Kannen, Bettina' importiert
OK: Patient 'Ullmann, Roman' importiert
OK: Patient 'Klein, Karl Adolf ' importiert
OK: Patient 'Schoon, Johanna' importiert
OK: Patient 'Willmann, Jürgen' importiert
OK: Patient 'Lewandowski, Marion' importiert
OK: Patient 'Gievski, Leona' importiert
OK: Patient 'Sukau, Nellie ' importiert
OK: Patient 'Hertrampf, Reinhard' importiert
OK: Patient 'Hertrampf, Frank' importiert
OK: Patient 'Päuschen' importiert
OK: Patient 'Hofmann. Barbara' importiert
OK: Patient 'Lang Urlaub' importiert
OK: Patient 'Schneider, Katharina' importiert
OK: Patient 'Gräbenstein, Bernd' importiert
OK: Patient 'Madel, Peter' importiert
OK: Patient 'Schwitalla, Peter' importiert
OK: Patient 'Henn, Jacqueline' importiert
OK: Patient 'Weber, Birgit KGG' importiert
OK: Patient 'Traulich, Brigitte' importiert
OK: Patient 'Krohn-Müller, Sylvia' importiert
OK: Patient 'Dederichs, Dietmar' importiert
OK: Patient 'Seinsche, Ulrich ' importiert
OK: Patient 'Hofmann, Barbara' importiert
OK: Patient 'Friese kommt Türen austauschen' importiert
OK: Patient 'Brandes , Elisabeth' importiert
